time,latitude,longitude,depth,mag,mag_type,nst,gap,dmin,rms,net,id,updated,place,type,horizontal_error,depth_error,mag_error,mag_nst,status,location_source,mag_source
2021-01-12T20:09:50.440Z,17.996,-67.0093,7,1.74,md,4,188,0.0439,0.05,pr,pr2021012016,2021-01-12T20:27:32.603Z,"4 km ENE of La Parguera, Puerto Rico",earthquake,0.47,0.76,0.06,4,reviewed,pr,pr
2021-01-12T20:08:22.849Z,63.5392,-150.9327,9.2,1.6,ml,,,,0.43,ak,ak021k6elil,2021-01-12T20:20:53.862Z,"39 km E of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-01-12T20:05:14.620Z,17.9936,-67.0975,13,2.45,md,13,203,0.0176,0.11,pr,pr2021012015,2021-01-12T20:27:22.483Z,"5 km SSW of Palmarejo, Puerto Rico",earthquake,0.52,0.23,0.09,10,reviewed,pr,pr
2021-01-12T20:04:29.970Z,33.9766667,-117.1473333,15.49,0.91,ml,26,94,0.08527,0.22,ci,ci39755144,2021-01-12T20:08:16.458Z,"9km W of Calimesa, CA",earthquake,0.37,0.87,0.147,22,automatic,ci,ci
2021-01-12T20:02:25.020Z,34.2911667,-118.5653333,5.2,2.16,ml,56,35,0.06551,0.28,ci,ci39755136,2021-01-12T20:53:16.737Z,"5km NE of Chatsworth, CA",earthquake,0.3,0.7,0.148,26,automatic,ci,ci
2021-01-12T19:50:21.385Z,62.3218,-151.8073,23.6,1.9,ml,,,,0.5,ak,ak021k624fs,2021-01-12T20:11:32.456Z,"42 km NNW of Skwentna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-01-12T19:44:08.940Z,36.0646667,-117.3805,2.62,1.32,ml,17,194,0.08817,0.15,ci,ci39755104,2021-01-12T19:47:38.956Z,"33km N of Searles Valley, CA",earthquake,0.61,1.44,0.086,14,automatic,ci,ci
2021-01-12T19:36:58.780Z,37.6086667,-118.9396667,1.22,1,md,19,119,0.01804,0.05,nc,nc73510080,2021-01-12T23:23:03.556Z,"5km SE of Mammoth Lakes, CA",earthquake,0.25,0.34,0.311,16,reviewed,nc,nc
2021-01-12T19:24:40.198Z,62.2333,-150.1091,12.8,1.7,ml,,,,0.52,ak,ak021k5wmpf,2021-01-12T19:27:55.592Z,"10 km S of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-01-12T19:19:19.810Z,19.5113334655762,-155.478668212891,3.77999997138977,1.80999994,md,32,73,,0.170000002,hv,hv72318222,2021-01-12T19:22:29.040Z,"26 km WNW of Volcano, Hawaii",earthquake,0.37,1.27999997,0.180000007,9,automatic,hv,hv
2021-01-12T19:06:44.000Z,35.5031667,-118.281,2.32,1,ml,11,77,0.1946,0.17,ci,ci39755064,2021-01-12T19:10:24.870Z,"21km ESE of Bodfish, CA",earthquake,0.46,1.51,0.126,8,automatic,ci,ci
2021-01-12T18:58:56.150Z,19.17799949646,-155.445327758789,33.3400001525879,1.83000004,md,32,153,,0.140000001,hv,hv72318207,2021-01-12T19:02:04.080Z,"4 km SE of Pāhala, Hawaii",earthquake,0.57,1.09000003,1.83000004,4,automatic,hv,hv
2021-01-12T18:52:31.470Z,40.3171654,-124.8291702,-0.14,2.92,md,23,292,0.435,0.27,nc,nc73510070,2021-01-12T22:31:03.233Z,"46km W of Petrolia, CA",earthquake,6.83,14.3,0.09,3,automatic,nc,nc
2021-01-12T18:40:38.818Z,38.049,-118.7743,8.2,1.5,ml,22,100.5,0.293,0.134,nn,nn00796998,2021-01-13T02:31:24.967Z,"32 km ENE of Lee Vining, California",earthquake,,2.6,0.24,7,reviewed,nn,nn
2021-01-12T18:38:47.600Z,39.432,-110.3276667,-1.21,1.34,md,5,148,0.008136,0.05,uu,uu60424037,2021-01-12T20:24:46.440Z,"14 km SSE of Sunnyside, Utah",earthquake,1.03,0.34,0.105,5,reviewed,uu,uu
2021-01-12T18:24:22.300Z,32.757,-115.8075,8.58,1.11,ml,17,76,0.1146,0.28,ci,ci39755032,2021-01-12T18:27:55.876Z,"18km E of Ocotillo, CA",earthquake,0.57,2.08,0.246,9,automatic,ci,ci
2021-01-12T18:17:32.284Z,-3.1485,136.8581,10,5.9,mww,,38,7.325,1.1,us,us6000d7tq,2021-01-12T20:21:52.235Z,"152 km E of Nabire, Indonesia",earthquake,8,1.8,0.098,10,reviewed,us,us
2021-01-12T18:10:43.259Z,60.9544,-151.0449,39.9,1.5,ml,,,,0.3,ak,ak021k587b9,2021-01-12T18:36:07.013Z,"13 km SSE of Tyonek, Alaska",earthquake,,2.6,,,automatic,ak,ak
2021-01-12T18:09:40.100Z,38.0046667,-112.6456667,5.95,1.67,md,11,87,0.5069,0.19,uu,uu60424032,2021-01-12T20:20:37.670Z,"17 km NE of Paragonah, Utah",earthquake,0.7,9.79,0.357,6,reviewed,uu,uu
2021-01-12T18:04:56.120Z,36.6230011,-121.2786636,5.34,1.76,md,11,114,0.0314,0.14,nc,nc73510065,2021-01-12T22:01:03.024Z,"16km NW of Pinnacles, CA",earthquake,0.52,1.31,0.21,13,automatic,nc,nc
2021-01-12T17:56:38.522Z,61.537,-148.1967,25.1,1.6,ml,,,,0.81,ak,ak021k4wma4,2021-01-12T18:00:03.543Z,"32 km SSE of Chickaloon, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-01-12T17:52:31.340Z,19.1573,-64.857,56,3.51,md,8,336,1.4193,0.47,pr,pr2021012014,2021-01-12T18:47:03.040Z,"90 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.19,17.81,0.09,7,reviewed,pr,pr
2021-01-12T17:08:15.303Z,-4.1112,142.9321,132.45,4.4,mb,,43,4.88,0.9,us,us6000d7te,2021-01-12T18:00:37.040Z,"17 km NE of Ambunti, Papua New Guinea",earthquake,10.6,7.9,0.1,33,reviewed,us,us
2021-01-12T17:04:26.767Z,65.1382,-148.9867,6.1,1.6,ml,,,,0.39,ak,ak021k4lg5d,2021-01-12T17:11:18.217Z,"17 km E of Minto, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-01-12T16:54:44.242Z,64.705,-146.8593,3.5,1.3,ml,,,,0.38,ak,ak021k4arot,2021-01-12T17:07:57.398Z,"10 km ENE of Eielson Air Force Base, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-01-12T16:47:12.190Z,36.8337,-115.9625,8.6,0.9,ml,20,120.58,0.112,0.19,nn,nn00796996,2021-01-12T16:55:03.196Z,"39 km NW of Indian Springs, Nevada",earthquake,,2.1,,,automatic,nn,nn
2021-01-12T16:46:05.870Z,37.8866653,-122.2076645,7.91,1.25,md,13,89,0.02443,0.04,nc,nc73510055,2021-01-12T19:36:03.043Z,"3km WNW of Orinda, CA",earthquake,0.31,0.45,0.27,9,automatic,nc,nc
2021-01-12T16:44:40.730Z,19.2024993896484,-155.435836791992,31.1000003814697,2.08,ml,45,135,,0.109999999,hv,hv72318157,2021-01-12T16:50:11.840Z,"4 km E of Pāhala, Hawaii",earthquake,0.71,0.889999986,5.28,3,automatic,hv,hv
2021-01-12T16:44:25.390Z,19.2310009002686,-155.389007568359,31.9899997711182,1.95,ml,19,188,,0.119999997,hv,hv72318152,2021-01-12T16:49:55.290Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.83,1.11000001,5.19,3,automatic,hv,hv
2021-01-12T16:36:01.625Z,36.8361,-115.9638,8.2,2.2,ml,45,39.54,0.041,0.1458,nn,nn00796992,2021-01-13T02:31:22.440Z,"39 km NW of Indian Springs, Nevada",earthquake,,0.7,0.47,29,reviewed,nn,nn
2021-01-12T16:34:53.740Z,38.1343,-117.8597,8.5,1.6,ml,15,77.03,0.021,0.06,nn,nn00796990,2021-01-12T16:38:42.757Z,Nevada,earthquake,,0.9,,,automatic,nn,nn
2021-01-12T16:31:45.796Z,38.1546,-117.8483,8.1,2.2,ml,15,51.28,0.019,0.1362,nn,nn00796987,2021-01-13T02:31:17.613Z,"34 km SE of Mina, Nevada",earthquake,,1,0.31,11,reviewed,nn,nn
2021-01-12T16:31:16.087Z,51.3597,100.1934,10,4.5,mb,,58,2.179,0.43,us,us6000d7tb,2021-01-12T17:36:25.040Z,"36 km WSW of Turt, Mongolia",earthquake,8.1,1.9,0.102,28,reviewed,us,us
2021-01-12T16:24:20.270Z,19.2421666666667,-155.383666666667,31.49,2.63,md,52,142,,0.12,hv,hv72318132,2021-01-12T22:52:33.166Z,"Island of Hawaii, Hawaii",earthquake,0.45,0.57,0.140327682108448,25,reviewed,hv,hv
2021-01-12T16:17:58.815Z,61.6868,-150.0794,16.9,2,ml,,,,0.82,ak,ak021k42vc9,2021-01-12T16:30:22.674Z,Southern Alaska,earthquake,,0.1,,,automatic,ak,ak
2021-01-12T16:10:42.360Z,17.9741,-66.9221,9,2.38,md,4,196,0.1222,0.09,pr,pr2021012013,2021-01-12T16:20:02.911Z,"1 km W of Guánica, Puerto Rico",earthquake,0.84,3.27,0.06,3,reviewed,pr,pr
2021-01-12T16:01:12.510Z,37.459,-118.8448333,1.47,1.12,md,16,159,0.1314,0.06,nc,nc73510040,2021-01-12T19:10:03.888Z,"18km SW of Toms Place, CA",earthquake,0.46,31.61,0.193,15,reviewed,nc,nc
2021-01-12T15:57:25.772Z,60.1027,-152.6575,97.5,1.9,ml,,,,0.47,ak,ak021k3pxsx,2021-01-12T16:00:49.017Z,"54 km WNW of Happy Valley, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-01-12T15:51:32.420Z,33.5991667,-116.81,6.32,0.7,ml,21,80,0.0387,0.12,ci,ci39754832,2021-01-12T18:59:41.866Z,"14km WNW of Anza, CA",earthquake,0.25,0.46,0.129,23,reviewed,ci,ci
